Date (AAAAMMJJ);Precipitations (mm);Temperature min (C);Heure Temp min;Temperature max (C);Heure Temp max;Temperature moyenne (C);Moyenne Temp min-max (C);Amplitude thermique (C);Duree gel (min);Meteo;vacance_scolaire;Saison
20190401;0.8;7.3;524;23.3;1402;15.3;15.3;16.0;0;Soleil;Non;Printemps
20190402;5.6;8.5;1739;18.2;1216;12.2;13.4;9.7;0;Pluie;Non;Printemps
20190403;0.2;5.4;507;11.5;1430;7.4;8.5;6.1;0;Frais;Non;Printemps
20190404;0.0;3.7;536;13.0;1628;8.4;8.4;9.3;0;Frais;Non;Printemps
20190405;0.0;4.3;541;15.2;1157;10.0;9.8;10.9;0;Frais;Non;Printemps
20190406;0.0;5.1;603;19.7;1324;12.5;12.4;14.6;0;Doux;Non;Printemps
20190407;0.0;9.6;559;15.9;1253;12.8;12.8;6.3;0;Doux;Non;Printemps
20190408;0.0;7.0;510;18.8;1300;12.9;12.9;11.8;0;Doux;Non;Printemps
20190409;0.4;9.4;337;15.8;1311;12.2;12.6;6.4;0;Doux;Non;Printemps
20190410;4.8;9.6;1103;12.7;1320;10.5;11.2;3.1;0;Pluie;Non;Printemps
20190411;0.0;4.0;552;16.5;1344;9.6;10.3;12.5;0;Frais;Non;Printemps
20190412;0.0;3.2;451;14.1;1253;8.0;8.7;10.9;0;Frais;Non;Printemps
20190413;0.0;2.0;530;13.2;1205;6.9;7.6;11.2;0;Frais;Non;Printemps
20190414;0.0;0.7;516;12.1;1314;6.3;6.4;11.4;0;Frais;Non;Printemps
20190415;0.0;3.2;450;18.0;1459;11.3;10.6;14.8;0;Frais;Non;Printemps
20190416;0.0;9.7;38;13.9;1251;12.0;11.8;4.2;0;Doux;Non;Printemps
20190417;0.0;6.3;408;21.3;1424;14.0;13.8;15.0;0;Doux;Non;Printemps
20190418;0.0;10.3;507;25.0;1445;17.4;17.7;14.7;0;Soleil;Non;Printemps
20190419;0.0;10.2;458;27.6;1424;18.8;18.9;17.4;0;Soleil;Non;Printemps
20190420;0.0;12.8;521;28.5;1441;20.4;20.7;15.7;0;Chaleurs;Non;Printemps
20190421;0.0;11.4;441;26.9;1231;18.8;19.2;15.5;0;Soleil;Non;Printemps
20190422;0.0;11.7;524;26.2;1542;19.1;19.0;14.5;0;Soleil;Non;Printemps
20190423;0.0;13.3;511;21.7;1410;17.5;17.5;8.4;0;Soleil;Non;Printemps
20190424;6.0;12.4;1534;17.5;906;14.4;15.0;5.1;0;Pluie;Non;Printemps
20190425;0.2;11.0;2249;17.1;1559;12.0;14.1;6.1;0;Doux;Non;Printemps
20190426;1.2;7.7;502;17.7;1552;13.1;12.7;10.0;0;Pluie;Non;Printemps
20190427;2.2;8.7;1233;14.5;1123;10.6;11.6;5.8;0;Pluie;Non;Printemps
20190428;0.6;7.5;247;14.7;1605;9.9;11.1;7.2;0;Frais;Non;Printemps
20190429;0.0;5.8;448;18.4;1655;12.0;12.1;12.6;0;Doux;Non;Printemps
20190430;0.2;7.3;422;20.0;1517;12.3;13.7;12.7;0;Doux;Non;Printemps
20190501;0.0;7.2;436;21.6;1514;14.0;14.4;14.4;0;Doux;Non;Printemps
20190502;2.2;10.4;456;16.4;1621;12.4;13.4;6.0;0;Pluie;Non;Printemps
20190503;2.4;8.3;416;18.2;1046;11.8;13.3;9.9;0;Pluie;Non;Printemps
20190504;6.8;3.9;851;11.9;1523;7.1;7.9;8.0;0;Pluie;Non;Printemps
20190505;1.8;3.7;339;15.2;1511;8.2;9.5;11.5;0;Pluie;Non;Printemps
20190506;0.0;2.9;309;13.9;1031;9.5;8.4;11.0;0;Frais;Non;Printemps
20190507;2.4;6.2;104;18.3;1428;12.9;12.3;12.1;0;Pluie;Non;Printemps
20190508;14.2;10.4;253;15.8;1606;12.1;13.1;5.4;0;Pluie;Non;Printemps
20190509;1.8;9.4;1954;16.1;1142;12.5;12.8;6.7;0;Pluie;Non;Printemps
20190510;43.6;10.0;412;17.7;1230;13.0;13.9;7.7;0;Pluie;Non;Printemps
20190511;10.2;9.6;628;19.1;1403;12.1;14.4;9.5;0;Pluie;Non;Printemps
20190512;0.0;6.2;343;17.9;1410;11.8;12.1;11.7;0;Frais;Non;Printemps
20190513;0.0;6.4;426;20.4;1412;13.7;13.4;14.0;0;Doux;Non;Printemps
20190514;0.0;7.6;420;21.6;1414;14.8;14.6;14.0;0;Doux;Non;Printemps
20190515;0.0;8.3;432;21.7;1429;15.0;15.0;13.4;0;Doux;Non;Printemps
20190516;0.0;6.4;421;20.8;1422;14.6;13.6;14.4;0;Doux;Non;Printemps
20190517;0.4;8.9;424;20.5;1304;14.8;14.7;11.6;0;Doux;Non;Printemps
20190518;12.1;12.5;554;20.1;1333;15.0;16.3;7.6;0;Pluie;Non;Printemps
20190519;1.0;11.1;400;20.0;1258;14.2;15.6;8.9;0;Doux;Non;Printemps
20190520;0.2;11.4;427;20.2;1603;15.2;15.8;8.8;0;Soleil;Non;Printemps
20190521;0.4;11.0;412;22.4;1022;15.9;16.7;11.4;0;Soleil;Non;Printemps
20190522;0.0;9.5;322;23.8;1331;17.0;16.7;14.3;0;Soleil;Non;Printemps
20190523;0.0;9.6;425;24.5;;18.4;17.1;14.9;;Soleil;Non;Printemps
20190524;0.0;13.5;;24.5;;19.2;19.0;11.0;;Soleil;Non;Printemps
20190525;8.0;13.6;;23.0;;17.2;18.3;9.4;;Pluie;Non;Printemps
20190526;0.0;13.6;;20.0;;17.0;16.8;6.4;;Soleil;Non;Printemps
20190527;0.0;15.2;;21.9;;17.4;18.6;6.7;;Soleil;Non;Printemps
20190528;2.8;11.4;;18.4;;14.0;14.9;7.0;;Pluie;Non;Printemps
20190529;0.0;10.1;;21.2;;16.1;15.7;11.1;;Soleil;Non;Printemps
20190530;0.0;14.9;;21.5;;17.8;18.2;6.6;;Soleil;Non;Printemps
20190531;0.0;12.7;;26.3;;19.6;19.5;13.6;;Soleil;Non;Printemps
20190601;0.0;13.8;;30.4;;23.0;22.1;16.6;;Canicule;Non;Printemps
20190602;0.0;18.0;;33.0;;26.3;25.5;15.0;;Canicule;Non;Printemps
20190603;0.8;18.4;;22.8;;19.4;20.6;4.4;;Soleil;Non;Printemps
20190604;6.2;14.5;;27.9;;20.5;21.2;13.4;;Pluie;Non;Printemps
20190605;19.0;11.8;;16.4;;13.5;14.1;4.6;;Pluie;Non;Printemps
20190606;0.2;10.9;;20.8;;16.0;15.9;9.9;;Soleil;Non;Printemps
20190607;1.0;14.6;;17.2;;15.3;15.9;2.6;;Soleil;Non;Printemps
20190608;0.8;12.2;;20.5;;15.7;16.4;8.3;;Soleil;Non;Printemps
20190609;0.2;11.2;;20.8;;16.1;16.0;9.6;;Soleil;Non;Printemps
20190610;0.0;12.5;;19.1;;15.5;15.8;6.6;;Soleil;Non;Printemps
20190611;3.0;9.6;;19.2;;13.7;14.4;9.6;;Pluie;Non;Printemps
20190612;5.6;10.2;;17.4;;13.3;13.8;7.2;;Pluie;Non;Printemps
20190613;0.2;11.0;;20.0;;15.3;15.5;9.0;;Soleil;Non;Printemps
20190614;5.6;13.3;;23.8;;19.5;18.6;10.5;;Pluie;Non;Printemps
20190615;0.0;15.1;;23.5;;18.9;19.3;8.4;;Soleil;Non;Printemps
20190616;0.0;14.6;;23.6;;18.5;19.1;9.0;;Soleil;Non;Printemps
20190617;0.0;12.9;;27.8;;21.0;20.4;14.9;;Chaleurs;Non;Printemps
20190618;0.0;15.4;;29.9;;23.6;22.7;14.5;;Chaleurs;Non;Printemps
20190619;9.4;19.2;;27.2;;22.5;23.2;8.0;;Pluie;Non;Printemps
20190620;1.0;14.6;;21.8;;18.0;18.2;7.2;;Soleil;Non;Printemps
20190621;0.0;12.4;;24.8;;18.5;18.6;12.4;;Soleil;Non;Ete
20190622;0.0;12.4;;26.7;;20.1;19.6;14.3;;Chaleurs;Non;Ete
20190623;0.0;15.4;;29.6;;24.0;22.5;14.2;;Chaleurs;Non;Ete
20190624;0.0;20.6;;32.4;;26.8;26.5;11.8;;Canicule;Non;Ete
20190625;0.0;20.7;;34.0;;27.1;27.4;13.3;;Canicule;Non;Ete
20190626;0.0;20.4;;35.0;;27.5;27.7;14.6;;Canicule;Non;Ete
20190627;0.0;19.7;;34.1;;26.5;26.9;14.4;;Canicule;Non;Ete
20190628;0.0;18.5;;34.5;;26.4;26.5;16.0;;Canicule;Non;Ete
20190629;0.0;19.5;;36.9;;28.9;28.2;17.4;;Canicule;Non;Ete
20190630;0.0;20.3;;29.2;;24.1;24.8;8.9;;Chaleurs;Non;Ete
20190701;0.0;16.7;;25.9;;20.7;21.3;9.2;;Chaleurs;Non;Ete
20190702;0.0;13.4;;27.7;;21.0;20.6;14.3;;Chaleurs;Non;Ete
20190703;0.0;14.4;;27.9;;21.3;21.2;13.5;;Chaleurs;Non;Ete
20190704;0.0;13.7;;30.1;;21.8;21.9;16.4;;Canicule;Non;Ete
20190705;0.0;15.2;;33.1;;24.6;24.2;17.9;;Canicule;Non;Ete
20190706;0.0;17.1;;33.7;;25.6;25.4;16.6;;Canicule;Non;Ete
20190707;0.0;16.8;;29.3;;22.0;23.1;12.5;;Chaleurs;Non;Ete
20190708;0.0;15.5;;26.3;;20.1;20.9;10.8;;Chaleurs;Non;Ete
20190709;0.0;12.5;;27.4;;20.0;20.0;14.9;;Chaleurs;Non;Ete
20190710;0.0;14.0;;29.2;;22.6;21.6;15.2;;Chaleurs;Non;Ete
20190711;0.0;19.2;;29.0;;23.9;24.1;9.8;;Chaleurs;Non;Ete
20190712;0.0;16.9;;27.6;;22.1;22.3;10.7;;Chaleurs;Non;Ete
20190713;0.0;16.2;;28.3;;21.6;22.3;12.1;;Chaleurs;Non;Ete
20190714;0.0;13.7;;23.2;;18.3;18.5;9.5;;Soleil;Non;Ete
20190715;0.0;12.9;;27.1;;19.6;20.0;14.2;;Soleil;Non;Ete
20190716;0.0;12.3;;28.2;;20.6;20.3;15.9;;Chaleurs;Non;Ete
20190717;0.0;14.4;;30.2;;23.0;22.3;15.8;;Canicule;Non;Ete
20190718;1.6;16.6;;28.8;;21.3;22.7;12.2;;Pluie;Non;Ete
20190719;0.0;17.6;;29.0;;22.8;23.3;11.4;;Chaleurs;Non;Ete
20190720;1.4;19.0;;27.5;;23.0;23.3;8.5;;Pluie;Non;Ete
20190721;0.0;17.2;;29.2;;22.7;23.2;12.0;;Chaleurs;Non;Ete
20190722;0.0;16.0;;33.6;;25.4;24.8;17.6;;Canicule;Non;Ete
20190723;0.0;18.1;;38.2;;29.2;28.2;20.1;;Canicule;Non;Ete
20190724;0.0;23.7;;40.5;;31.7;32.1;16.8;;Canicule;Non;Ete
20190725;0.0;24.4;;41.9;;33.5;33.2;17.5;;Canicule;Non;Ete
20190726;11.4;22.3;;31.3;;25.2;26.8;9.0;;Canicule;Non;Ete
20190727;1.2;16.5;;23.6;;19.2;20.1;7.1;;Pluie;Non;Ete
20190728;0.0;15.4;;25.2;;20.1;20.3;9.8;;Chaleurs;Non;Ete
20190729;0.0;13.7;;29.6;;22.9;21.7;15.9;;Chaleurs;Non;Ete
20190730;0.0;18.0;;24.7;;21.3;21.4;6.7;;Chaleurs;Non;Ete
20190731;0.0;15.8;;24.9;;20.2;20.4;9.1;;Chaleurs;Non;Ete
20190801;0.2;15.0;;28.7;;22.4;21.9;13.7;;Chaleurs;Non;Ete
20190802;0.0;17.2;;30.1;;22.9;23.7;12.9;;Canicule;Non;Ete
20190803;0.0;15.7;;26.4;;21.3;21.1;10.7;;Chaleurs;Non;Ete
20190804;0.0;15.3;;31.9;;24.2;23.6;16.6;;Canicule;Non;Ete
20190805;0.0;18.4;;27.7;;23.5;23.1;9.3;;Chaleurs;Non;Ete
20190806;21.8;18.8;;22.7;;20.4;20.8;3.9;;Pluie;Non;Ete
20190807;0.0;17.8;;26.5;;21.6;22.2;8.7;;Chaleurs;Non;Ete
20190808;0.0;14.8;;30.0;1641;23.9;22.4;15.2;;Chaleurs;Non;Ete
20190809;18.3;21.0;752;25.3;1050;22.6;23.2;4.3;0;Pluie;Non;Ete
20190810;0.0;18.7;434;26.5;1502;22.0;22.6;7.8;0;Chaleurs;Non;Ete
20190811;0.0;15.3;409;24.1;1617;19.0;19.7;8.8;0;Soleil;Non;Ete
20190812;3.8;15.0;511;22.7;1210;17.8;18.9;7.7;0;Pluie;Non;Ete
20190813;0.0;12.6;451;22.0;1323;17.2;17.3;9.4;0;Soleil;Non;Ete
20190814;0.2;13.9;407;25.7;1507;20.1;19.8;11.8;0;Chaleurs;Non;Ete
20190815;0.0;17.5;614;26.1;1417;20.3;21.8;8.6;0;Chaleurs;Non;Ete
20190816;0.2;13.9;432;25.8;1357;20.5;19.9;11.9;0;Chaleurs;Non;Ete
20190817;18.4;18.0;509;20.6;1722;18.9;19.3;2.6;0;Pluie;Non;Ete
20190818;4.4;17.7;2205;23.9;1537;19.3;20.8;6.2;0;Pluie;Non;Ete
20190819;0.0;14.1;2315;24.5;1510;19.1;19.3;10.4;0;Soleil;Non;Ete
20190820;0.0;14.2;206;25.3;1435;19.1;19.8;11.1;0;Soleil;Non;Ete
20190821;0.0;11.4;507;26.8;1538;18.6;19.1;15.4;0;Soleil;Non;Ete
20190822;0.0;11.8;410;29.2;1425;20.1;20.5;17.4;0;Chaleurs;Non;Ete
20190823;0.0;13.1;505;31.3;1420;22.0;22.2;18.2;0;Canicule;Non;Ete
20190824;0.0;14.3;507;32.7;1448;23.1;23.5;18.4;0;Canicule;Non;Ete
20190825;0.0;16.2;453;34.8;1446;24.9;25.5;18.6;0;Canicule;Non;Ete
20190826;0.0;16.6;401;35.3;1504;25.4;26.0;18.7;0;Canicule;Non;Ete
20190827;0.0;18.4;404;34.6;1346;26.0;26.5;16.2;0;Canicule;Non;Ete
20190828;0.0;19.3;445;30.6;1206;24.5;25.0;11.3;0;Canicule;Non;Ete
20190829;0.0;18.9;607;26.9;1542;20.9;22.9;8.0;0;Chaleurs;Non;Ete
20190830;0.0;12.7;528;30.4;1603;20.8;21.6;17.7;0;Canicule;Non;Ete
20190831;0.0;15.7;359;32.1;1245;22.8;23.9;16.4;0;Canicule;Non;Ete
20190901;0.0;15.8;616;25.4;1541;19.0;20.6;9.6;0;Gris;Non;Ete
20190902;0.0;12.1;509;25.4;1540;18.0;18.8;13.3;0;Gris;Non;Ete
20190903;0.0;12.3;509;26.1;1555;18.2;19.2;13.8;0;Gris;Non;Ete
20190904;0.0;13.2;545;26.9;1243;18.2;20.1;13.7;0;Gris;Non;Ete
20190905;0.0;12.5;453;20.8;1119;15.2;16.7;8.3;0;Gris;Non;Ete
20190906;0.4;8.7;240;23.4;1412;16.1;16.1;14.7;0;Gris;Non;Ete
20190907;0.0;14.4;519;22.8;1223;16.5;18.6;8.4;0;Gris;Non;Ete
20190908;0.0;11.0;305;20.6;1242;14.5;15.8;9.6;0;Gris;Non;Ete
20190909;0.0;8.3;243;21.2;1433;14.8;14.8;12.9;0;Gris;Non;Ete
20190910;0.0;9.5;519;25.7;1517;17.1;17.6;16.2;0;Gris;Non;Ete
20190911;0.0;13.4;2334;26.0;1401;19.0;19.7;12.6;0;Gris;Non;Ete
20190912;0.0;17.6;1955;24.3;1335;20.5;21.0;6.7;0;Chaleurs;Non;Ete
20190913;0.0;15.5;303;26.9;1516;19.3;21.2;11.4;0;Gris;Non;Ete
20190914;0.0;13.3;516;28.8;1459;19.7;21.1;15.5;0;Gris;Non;Ete
20190915;0.0;12.7;511;30.1;1522;20.4;21.4;17.4;0;Canicule;Non;Ete
20190916;0.0;13.4;331;29.2;1448;20.3;21.3;15.8;0;Chaleurs;Non;Ete
20190917;0.0;16.1;240;25.2;1349;18.7;20.7;9.1;0;Gris;Non;Ete
20190918;0.0;9.7;504;22.6;1410;15.4;16.2;12.9;0;Gris;Non;Ete
20190919;0.0;9.6;443;22.8;1433;15.4;16.2;13.2;0;Gris;Non;Ete
20190920;0.0;9.1;403;26.1;1436;16.8;17.6;17.0;0;Gris;Non;Ete
20190921;0.0;10.4;517;29.5;1423;19.9;20.0;19.1;0;Gris;Non;Ete
20190922;7.4;16.4;1357;22.2;1011;18.1;19.3;5.8;0;Pluie;Non;Ete
20190923;0.0;14.3;128;22.2;1337;18.0;18.3;7.9;0;Gris;Non;Automne
20190924;2.8;15.5;1021;22.0;1512;16.6;18.8;6.5;0;Pluie;Non;Automne
20190925;1.4;14.0;208;20.2;1539;16.4;17.1;6.2;0;Pluie;Non;Automne
20190926;6.2;16.4;2313;21.9;1401;18.5;19.2;5.5;0;Pluie;Non;Automne
20190927;1.0;14.6;405;20.8;1216;16.6;17.7;6.2;0;Gris;Non;Automne
20190928;0.0;14.0;225;20.9;1454;16.8;17.5;6.9;0;Gris;Non;Automne
20190929;4.2;14.1;458;21.1;1419;16.3;17.6;7.0;0;Pluie;Non;Automne
20190930;0.0;12.6;625;20.1;1354;16.4;16.4;7.5;0;Gris;Non;Automne
20191001;6.3;15.8;1558;23.0;1405;17.6;19.4;7.2;0;Pluie;Non;Automne
20191002;0.0;11.6;1800;19.3;1339;13.5;15.5;7.7;0;Gris;Non;Automne
20191003;0.4;4.7;329;14.6;1049;10.3;9.7;9.9;0;Frais;Non;Automne
20191004;0.2;10.2;39;17.4;1024;14.7;13.8;7.2;0;Gris;Non;Automne
20191005;4.0;13.2;439;18.1;1435;15.3;15.7;4.9;0;Pluie;Non;Automne
20191006;1.8;13.9;130;20.2;1242;15.3;17.1;6.3;0;Pluie;Non;Automne
20191007;4.4;12.3;612;19.2;1452;14.9;15.8;6.9;0;Pluie;Non;Automne
20191008;6.6;12.9;7;15.5;930;14.1;14.2;2.6;0;Pluie;Non;Automne
20191009;3.2;11.4;428;17.7;1444;13.3;14.6;6.3;0;Pluie;Non;Automne
20191010;0.0;11.6;253;19.3;1346;14.5;15.5;7.7;0;Gris;Non;Automne
20191011;0.0;11.2;430;20.7;1536;15.0;16.0;9.5;0;Gris;Non;Automne
20191012;0.0;11.4;13;21.6;1458;15.9;16.5;10.2;0;Gris;Non;Automne
20191013;0.0;14.4;140;26.2;1427;19.3;20.3;11.8;0;Gris;Non;Automne
20191014;2.4;14.1;2306;25.7;1416;18.8;19.9;11.6;0;Pluie;Non;Automne
20191015;1.4;14.1;405;17.5;1220;14.6;15.8;3.4;0;Pluie;Non;Automne
20191016;4.0;11.7;101;17.7;1150;14.4;14.7;6.0;0;Pluie;Non;Automne
20191017;2.4;12.4;311;17.4;1433;14.6;14.9;5.0;0;Pluie;Non;Automne
20191018;1.0;11.1;607;17.5;1328;14.4;14.3;6.4;0;Gris;Non;Automne
20191019;3.8;12.4;546;15.9;1336;13.4;14.2;3.5;0;Pluie;Oui;Automne
20191020;11.0;10.7;636;13.1;1304;11.5;11.9;2.4;0;Pluie;Oui;Automne
20191021;0.0;10.6;320;16.5;1403;11.9;13.6;5.9;0;Frais;Oui;Automne
20191022;0.0;6.9;330;16.3;1343;11.0;11.6;9.4;0;Frais;Oui;Automne
20191023;0.0;10.6;1940;14.7;1446;12.8;12.7;4.1;0;Gris;Oui;Automne
