date,jour_semaine,jour_mois,semaine_annee,mois,annee,saison,vacances_scolaires,temperature_moyenne,temperature_min,temperature_max,meteo_principale,indice_chaleur,indice_froid,lits_total,lits_occupes,taux_occupation_lits,nb_medecins_disponibles,nb_infirmiers_disponibles,nb_aides_soignants_disponibles,taux_couverture_personnel,nombre_admissions,nombre_passages_urgences,nombre_hospitalisations,nombre_sorties,evenement_special,impact_evenement_estime
2022-03-28,Lundi,28,13,3,2022,Printemps,0,"15,4","7,6","23,2",Soleil,"0,0","0,0",1650,1444,"0,88",70,260,210,"1,0",508,920,330,277,Aucun,"0,0"
2022-03-29,Mardi,29,13,3,2022,Printemps,0,"13,9","11,7","19,7",Pluie,"0,0","0,0",1650,1315,"0,8",70,260,210,"1,0",342,920,222,252,Aucun,"0,0"
2022-03-30,Mercredi,30,13,3,2022,Printemps,0,"10,8","9,5","14,2",Pluie,"0,0","0,0",1650,1380,"0,84",70,260,210,"1,0",406,920,263,265,Aucun,"0,0"
2022-03-31,Jeudi,31,13,3,2022,Printemps,0,"5,9","3,8","9,3",Pluie,"0,0","0,0",1650,1268,"0,77",70,260,210,"1,0",290,920,188,243,Aucun,"0,0"
2022-04-01,Vendredi,1,13,4,2022,Printemps,0,"2,6","1,4","3,5",Pluie,"0,0","0,0",1650,864,"0,52",70,260,210,"1,0",436,1012,283,166,Aucun,"0,0"
2022-04-02,Samedi,2,13,4,2022,Printemps,0,"5,2","1,1","10,0",Frais,"0,0","0,0",1650,818,"0,5",70,260,210,"1,0",220,1058,143,157,Aucun,"0,0"
2022-04-03,Dimanche,3,13,4,2022,Printemps,0,"6,0","1,2","11,5",Frais,"0,0","0,0",1650,1273,"0,77",70,260,210,"1,0",286,993,185,244,Aucun,"0,0"
2022-04-04,Lundi,4,14,4,2022,Printemps,0,"7,5","2,8","11,2",Frais,"0,0","0,0",1650,1167,"0,71",70,260,210,"1,0",468,920,304,224,Aucun,"0,0"
2022-04-05,Mardi,5,14,4,2022,Printemps,0,"10,9","8,3","13,6",Pluie,"0,0","0,0",1650,927,"0,56",70,260,210,"1,0",477,920,310,178,Aucun,"0,0"
2022-04-06,Mercredi,6,14,4,2022,Printemps,0,"11,3","8,9","13,8",Frais,"0,0","0,0",1650,1145,"0,69",70,260,210,"1,0",237,920,154,220,Aucun,"0,0"
2022-04-07,Jeudi,7,14,4,2022,Printemps,0,"12,6","10,8","16,0",Pluie,"0,0","0,0",1650,1149,"0,7",70,260,210,"1,0",387,920,251,220,Aucun,"0,0"
2022-04-08,Vendredi,8,14,4,2022,Printemps,0,"6,0","2,4","7,5",Pluie,"0,0","0,0",1650,1140,"0,69",70,260,210,"1,0",211,1012,137,219,Aucun,"0,0"
2022-04-09,Samedi,9,14,4,2022,Printemps,0,"6,9","2,4","13,3",Frais,"0,0","0,0",1650,1265,"0,77",70,260,210,"1,0",212,1058,137,243,Aucun,"0,0"
2022-04-10,Dimanche,10,14,4,2022,Printemps,1,"9,1","1,3","15,8",Frais,"0,0","0,0",1650,999,"0,61",70,260,210,"1,0",307,1043,199,192,Aucun,"0,0"
2022-04-11,Lundi,11,15,4,2022,Printemps,1,"13,9","6,0","21,1",Doux,"0,0","0,0",1650,980,"0,59",70,260,210,"1,0",294,966,191,188,Aucun,"0,0"
2022-04-12,Mardi,12,15,4,2022,Printemps,1,"16,8","11,6","22,3",Pluie,"0,0","0,0",1650,1312,"0,8",70,260,210,"1,0",326,966,211,252,Aucun,"0,0"
2022-04-13,Mercredi,13,15,4,2022,Printemps,1,"14,2","12,4","17,3",Pluie,"0,0","0,0",1650,1238,"0,75",70,260,210,"1,0",260,966,169,238,Aucun,"0,0"
2022-04-14,Jeudi,14,15,4,2022,Printemps,1,"16,4","10,3","24,2",Soleil,"0,0","0,0",1650,1024,"0,62",70,260,210,"1,0",293,966,190,196,Aucun,"0,0"
2022-04-15,Vendredi,15,15,4,2022,Printemps,1,"16,6","9,6","24,1",Soleil,"0,0","0,0",1650,984,"0,6",70,260,210,"1,0",323,1062,209,189,Aucun,"0,0"
2022-04-16,Samedi,16,15,4,2022,Printemps,1,"15,5","9,1","22,2",Soleil,"0,0","0,0",1650,957,"0,58",70,260,210,"1,0",241,1110,156,184,Aucun,"0,0"
2022-04-17,Dimanche,17,15,4,2022,Printemps,1,"15,8","7,7","24,5",Soleil,"0,0","0,0",1650,1160,"0,7",70,260,210,"1,0",422,1043,274,223,Aucun,"0,0"
2022-04-18,Lundi,18,16,4,2022,Printemps,1,"15,0","7,2","21,9",Doux,"0,0","0,0",1650,1190,"0,72",70,260,210,"1,0",280,966,182,228,Aucun,"0,0"
2022-04-19,Mardi,19,16,4,2022,Printemps,1,"13,9","8,1","21,0",Doux,"0,0","0,0",1650,1118,"0,68",70,260,210,"1,0",323,966,209,215,Aucun,"0,0"
2022-04-20,Mercredi,20,16,4,2022,Printemps,1,"14,8","8,0","22,6",Doux,"0,0","0,0",1650,1279,"0,78",70,260,210,"1,0",375,966,243,245,Aucun,"0,0"
2022-04-21,Jeudi,21,16,4,2022,Printemps,1,"15,5","8,7","22,7",Soleil,"0,0","0,0",1650,1059,"0,64",70,260,210,"1,0",293,966,190,203,Aucun,"0,0"
2022-04-22,Vendredi,22,16,4,2022,Printemps,1,"15,4","9,5","22,1",Soleil,"0,0","0,0",1650,775,"0,47",70,260,210,"1,0",311,1062,202,149,Aucun,"0,0"
2022-04-23,Samedi,23,16,4,2022,Printemps,1,"15,1","9,4","22,8",Soleil,"0,0","0,0",1650,1380,"0,84",70,260,210,"1,0",172,1110,111,265,Aucun,"0,0"
2022-04-24,Dimanche,24,16,4,2022,Printemps,1,"15,3","9,4","21,1",Soleil,"0,0","0,0",1650,1113,"0,67",70,260,210,"1,0",399,1043,259,214,Aucun,"0,0"
2022-04-25,Lundi,25,17,4,2022,Printemps,0,"13,3","9,4","20,0",Doux,"0,0","0,0",1650,1206,"0,73",70,260,210,"1,0",401,920,260,231,Aucun,"0,0"
2022-04-26,Mardi,26,17,4,2022,Printemps,0,"12,0","7,3","17,8",Doux,"0,0","0,0",1650,1339,"0,81",70,260,210,"1,0",581,920,377,257,Aucun,"0,0"
2022-04-27,Mercredi,27,17,4,2022,Printemps,0,"13,5","5,5","21,0",Doux,"0,0","0,0",1650,997,"0,6",70,260,210,"1,0",350,920,227,191,Aucun,"0,0"
2022-04-28,Jeudi,28,17,4,2022,Printemps,0,"15,7","7,6","22,2",Soleil,"0,0","0,0",1650,1188,"0,72",70,260,210,"1,0",244,920,158,228,Aucun,"0,0"
2022-04-29,Vendredi,29,17,4,2022,Printemps,0,"15,4","11,3","22,6",Soleil,"0,0","0,0",1650,920,"0,56",70,260,210,"1,0",305,1012,198,176,Aucun,"0,0"
2022-04-30,Samedi,30,17,4,2022,Printemps,0,"12,9","7,5","19,9",Doux,"0,0","0,0",1650,976,"0,59",70,260,210,"1,0",259,1058,168,187,Aucun,"0,0"
2022-05-01,Dimanche,1,17,5,2022,Printemps,0,"13,2","6,5","19,6",Doux,"0,0","0,0",1650,1300,"0,79",70,260,210,"1,0",427,993,277,250,Aucun,"0,0"
2022-05-02,Lundi,2,18,5,2022,Printemps,0,"14,5","8,3","20,9",Doux,"0,0","0,0",1650,1399,"0,85",70,260,210,"1,0",359,920,233,269,Aucun,"0,0"
2022-05-03,Mardi,3,18,5,2022,Printemps,0,"15,3","9,7","23,2",Soleil,"0,0","0,0",1650,1012,"0,61",70,260,210,"1,0",365,920,237,194,Aucun,"0,0"
2022-05-04,Mercredi,4,18,5,2022,Printemps,0,"15,0","9,9","21,4",Doux,"0,0","0,0",1650,1243,"0,75",70,260,210,"1,0",469,920,304,239,Aucun,"0,0"
2022-05-05,Jeudi,5,18,5,2022,Printemps,0,"15,0","11,1","21,1",Doux,"0,0","0,0",1650,1123,"0,68",70,260,210,"1,0",285,920,185,215,Aucun,"0,0"
2022-05-06,Vendredi,6,18,5,2022,Printemps,0,"17,1","9,5","24,2",Soleil,"0,0","0,0",1650,926,"0,56",70,260,210,"1,0",296,1012,192,178,Aucun,"0,0"
2022-05-07,Samedi,7,18,5,2022,Printemps,0,"16,9","11,5","24,0",Soleil,"0,0","0,0",1650,1470,"0,89",70,260,210,"1,0",372,1058,241,282,Aucun,"0,0"
2022-05-08,Dimanche,8,18,5,2022,Printemps,0,"16,7","11,7","24,3",Soleil,"0,0","0,0",1650,1247,"0,76",70,260,210,"1,0",205,993,133,239,Aucun,"0,0"
2022-05-09,Lundi,9,19,5,2022,Printemps,0,"19,1","10,4","27,7",Soleil,"2,6999999999999993","0,0",1650,1074,"0,65",70,260,210,"1,0",313,920,203,206,Canicule,"0,0"
2022-05-10,Mardi,10,19,5,2022,Printemps,0,"21,5","13,6","27,8",Chaleurs,"2,8000000000000007","0,0",1650,1012,"0,61",70,260,210,"1,0",317,920,206,194,Canicule,"0,0"
2022-05-11,Mercredi,11,19,5,2022,Printemps,0,"19,9","12,5","26,2",Soleil,"1,1999999999999993","0,0",1650,1017,"0,62",70,260,210,"1,0",363,920,235,195,Canicule,"0,0"
2022-05-12,Jeudi,12,19,5,2022,Printemps,0,"17,4","12,9","21,3",Soleil,"0,0","0,0",1650,1146,"0,69",70,260,210,"1,0",379,920,246,220,Aucun,"0,0"
2022-05-13,Vendredi,13,19,5,2022,Printemps,0,"17,3","11,1","23,9",Soleil,"0,0","0,0",1650,1005,"0,61",70,260,210,"1,0",342,1012,222,193,Aucun,"0,0"
2022-05-14,Samedi,14,19,5,2022,Printemps,0,"18,3","10,1","25,2",Soleil,"0,1999999999999993","0,0",1650,1279,"0,78",70,260,210,"1,0",264,1058,171,245,Canicule,"0,0"
2022-05-15,Dimanche,15,19,5,2022,Printemps,0,"21,9","14,1","30,7",Canicule,"5,699999999999999","0,0",1650,993,"0,6",70,260,210,"1,0",342,993,222,190,Canicule,"0,0"
2022-05-16,Lundi,16,20,5,2022,Printemps,0,"20,7","16,4","27,3",Chaleurs,"2,3000000000000007","0,0",1650,1278,"0,77",70,260,210,"1,0",367,920,238,245,Canicule,"0,0"
2022-05-17,Mardi,17,20,5,2022,Printemps,0,"24,3","15,5","29,7",Chaleurs,"4,699999999999999","0,0",1650,1244,"0,75",70,260,210,"1,0",239,920,155,239,Canicule,"0,0"
